主站点号,电压等级,间隔名称,设备名称,设备大类,量测类型,信息分类,越限高限值,主站端描述,厂站端描述
1,110kV,110kV41母线,110kV41母线,交流母线,A相电压,越限,,110kV41母线A相电压,110kV41母线A相电压
2,110kV,110kV41母线,110kV41母线,交流母线,B相电压,越限,,110kV41母线B相电压,110kV41母线B相电压
3,110kV,110kV41母线,110kV41母线,交流母线,C相电压,越限,,110kV41母线C相电压,110kV41母线C相电压
4,110kV,110kV41母线,110kV41母线,交流母线,AB线电压,越限,,110kV41母线AB线电压,110kV41母线AB线电压
5,110kV,110kV41母线,110kV41母线,交流母线,BC线电压,越限,,110kV41母线BC线电压,110kV41母线BC线电压
6,110kV,110kV41母线,110kV41母线,交流母线,CA线电压,越限,,110kV41母线CA线电压,110kV41母线CA线电压
7,110kV,110kV41母线,110kV41母线,交流母线,零序电压,越限,,110kV41母线零序电压,110kV41母线零序电压
8,110kV,110kV41母线,110kV41母线,交流母线,频率,越限,,110kV41母线频率,110kV41母线频率
9,110kV,110kV42母线,110kV42母线,交流母线,A相电压,越限,,110kV42母线A相电压,110kV42母线A相电压
10,110kV,110kV42母线,110kV42母线,交流母线,B相电压,越限,,110kV42母线B相电压,110kV42母线B相电压
11,110kV,110kV42母线,110kV42母线,交流母线,C相电压,越限,,110kV42母线C相电压,110kV42母线C相电压
12,110kV,110kV42母线,110kV42母线,交流母线,AB线电压,越限,,110kV42母线AB线电压,110kV42母线AB线电压
13,110kV,110kV42母线,110kV42母线,交流母线,BC线电压,越限,,110kV42母线BC线电压,110kV42母线BC线电压
14,110kV,110kV42母线,110kV42母线,交流母线,CA线电压,越限,,110kV42母线CA线电压,110kV42母线CA线电压
15,110kV,110kV42母线,110kV42母线,交流母线,零序电压,越限,,110kV42母线零序电压,110kV42母线零序电压
16,110kV,110kV42母线,110kV42母线,交流母线,频率,越限,,110kV42母线频率,110kV42母线频率
17,10kV,10kV41母线,10kV41母线,交流母线,A相电压,越限,,10kV41母线A相电压,10kV41母线A相电压
18,10kV,10kV41母线,10kV41母线,交流母线,B相电压,越限,,10kV41母线B相电压,10kV41母线B相电压
19,10kV,10kV41母线,10kV41母线,交流母线,C相电压,越限,,10kV41母线C相电压,10kV41母线C相电压
20,10kV,10kV41母线,10kV41母线,交流母线,AB线电压,越限,,10kV41母线AB线电压,10kV41母线AB线电压
21,10kV,10kV41母线,10kV41母线,交流母线,BC线电压,越限,,10kV41母线BC线电压,10kV41母线BC线电压
22,10kV,10kV41母线,10kV41母线,交流母线,CA线电压,越限,,10kV41母线CA线电压,10kV41母线CA线电压
23,10kV,10kV41母线,10kV41母线,交流母线,零序电压,越限,,10kV41母线零序电压,10kV41母线零序电压
24,10kV,10kV41母线,10kV41母线,交流母线,频率,越限,,10kV41母线频率,10kV41母线频率
25,10kV,10kV42母线,10kV42母线,交流母线,A相电压,越限,,10kV42母线A相电压,10kV42母线A相电压
26,10kV,10kV42母线,10kV42母线,交流母线,B相电压,越限,,10kV42母线B相电压,10kV42母线B相电压
27,10kV,10kV42母线,10kV42母线,交流母线,C相电压,越限,,10kV42母线C相电压,10kV42母线C相电压
28,10kV,10kV42母线,10kV42母线,交流母线,AB线电压,越限,,10kV42母线AB线电压,10kV42母线AB线电压
29,10kV,10kV42母线,10kV42母线,交流母线,BC线电压,越限,,10kV42母线BC线电压,10kV42母线BC线电压
30,10kV,10kV42母线,10kV42母线,交流母线,CA线电压,越限,,10kV42母线CA线电压,10kV42母线CA线电压
31,10kV,10kV42母线,10kV42母线,交流母线,零序电压,越限,,10kV42母线零序电压,10kV42母线零序电压
32,10kV,10kV42母线,10kV42母线,交流母线,频率,越限,,10kV42母线频率,10kV42母线频率
33,10kV,10kV43母线,10kV43母线,交流母线,A相电压,越限,,10kV43母线A相电压,10kV43母线A相电压
34,10kV,10kV43母线,10kV43母线,交流母线,B相电压,越限,,10kV43母线B相电压,10kV43母线B相电压
35,10kV,10kV43母线,10kV43母线,交流母线,C相电压,越限,,10kV43母线C相电压,10kV43母线C相电压
36,10kV,10kV43母线,10kV43母线,交流母线,AB线电压,越限,,10kV43母线AB线电压,10kV43母线AB线电压
