主站点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站端描述（合并信息填母点描述）,厂站端描述
1,110kV,公用间隔,全站事故总,二次设备,变位,,,PSCADA复归/动作,一般遥信,否,全站总复归,全站总复归
2,110kV,公用间隔,全站事故总,二次设备,事故,,,PSCADA复归/动作,保护事件,否,全站事故总,全站事故总
3,110kV,1号主变公用,1-7中性点地刀,接地刀闸,变位,,位置遥信,PSCADA分位/合位,一般遥信,否,1-7,1-7
4,110kV,1号主变公用,1-7刀闸机构,辅助设备,变位,,,PSCADA远方/就地,一般遥信,否,1-7刀闸机构就地控制,1-7刀闸机构就地控制
5,110kV,1号主变公用,1-7刀闸机构,辅助设备,变位,,,PSCADA远方/就地,一般遥信,否,1-7本体智能终端就地控制,1-7本体智能终端就地控制
6,110kV,1号主变公用,1-7刀闸机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,1-7刀闸电机电源消失,1-7刀闸电机电源消失
7,110kV,1号主变公用,1-7刀闸机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,1-7刀闸控制电源消失,1-7刀闸控制电源消失
8,110kV,1号主变公用,1-7刀闸机构,辅助设备,异常,,,PSCADA复归/告警,主设备故障告警,是,1-7刀闸机构加热器故障,1-7刀闸机构加热器故障
9,110kV,1号主变公用,1号主变机构,辅助设备,事故,,,PSCADA复归/动作,主设备故障告警,是,1#主变本体重瓦斯跳闸,1#主变本体重瓦斯跳闸
10,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1#主变本体轻瓦斯告警,1#主变本体轻瓦斯告警
11,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1#主变本体压力释放告警,1#主变本体压力释放告警
12,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1#主变本体油温高告警,1#主变本体油温高告警
