主站点号,间隔名称,设备名称,主站端描述,对应遥信点名称,遥信的点号,厂站端描述,量测类型
1,1号主变110kV侧,101开关,101,101,164.0,101,
2,1号主变10kV侧,201开关,201,201,207.0,201,
3,1号主变110kV侧,1-7接地刀闸,1-7,1-7,3.0,1-7,
6,2号主变110kV侧,102开关,102,102,421.0,102,
7,2号主变10kV侧,2021开关,2021,2021,464.0,2021,
8,2号主变10kV侧,2022开关,2022,2022,492.0,2022,
9,2号主变110kV侧,2-7接地刀闸,2-7,2-7,234.0,2-7,
12,110kV111孟创线,111开关,111,111,520.0,111,
13,110kV112备用线,112开关,112,112,560.0,112,
14,110kV113孟信线,113开关,113,113,600.0,113,
15,110kV114备用线,114开关,114,114,640.0,114,
16,10kV创11国富一线,创11开关,创11,创11,742.0,创11,
17,10kV创11国富一线,创11线路保护,创11停用重合闸软压板投入,创11停用重合闸软压板投入,761.0,创11停用重合闸软压板投入,
18,10kV创12备用线,创12开关,创12,创12,766.0,创12,
19,10kV创12备用线,创12线路保护,创12停用重合闸软压板投入,创12停用重合闸软压板投入,785.0,创12停用重合闸软压板投入,
20,10kV创13备用线,创13开关,创13,创13,790.0,创13,
21,10kV创13备用线,创13线路保护,创13停用重合闸软压板投入,创13停用重合闸软压板投入,809.0,创13停用重合闸软压板投入,
22,10kV创14备用线,创14开关,创14,创14,814.0,创14,
23,10kV创14备用线,创14线路保护,创14停用重合闸软压板投入,创14停用重合闸软压板投入,833.0,创14停用重合闸软压板投入,
24,10kV创15备用线,创15开关,创15,创15,838.0,创15,
25,10kV创15备用线,创15线路保护,创15停用重合闸软压板投入,创15停用重合闸软压板投入,857.0,创15停用重合闸软压板投入,
26,10kV创16备用线,创16开关,创16,创16,862.0,创16,
27,10kV创16备用线,创16线路保护,创16停用重合闸软压板投入,创16停用重合闸软压板投入,881.0,创16停用重合闸软压板投入,
28,10kV创17数据二线,创17开关,创17,创17,886.0,创17,
29,10kV创17数据二线,创17线路保护,创17停用重合闸软压板投入,创17停用重合闸软压板投入,905.0,创17停用重合闸软压板投入,
30,10kV创18数据一线,创18开关,创18,创18,910.0,创18,
31,10kV创18数据一线,创18线路保护,创18停用重合闸软压板投入,创18停用重合闸软压板投入,929.0,创18停用重合闸软压板投入,
32,10kV创19首创线,创19开关,创19,创19,934.0,创19,
33,10kV创19首创线,创19线路保护,创19停用重合闸软压板投入,创19停用重合闸软压板投入,953.0,创19停用重合闸软压板投入,
34,10kV创1甲备用线,创1甲开关,创1甲,创1甲,958.0,创1甲,
35,10kV创1甲备用线,创1甲线路保护,创1甲停用重合闸软压板投入,创1甲停用重合闸软压板投入,977.0,创1甲停用重合闸软压板投入,
36,10kV创1乙备用线,创1乙开关,创1乙,创1乙,982.0,创1乙,
37,10kV创1乙备用线,创1乙线路保护,创1乙停用重合闸软压板投入,创1乙停用重合闸软压板投入,1001.0,创1乙停用重合闸软压板投入,
38,10kV创1丙备用线,创1丙开关,创1丙,创1丙,1006.0,创1丙,
39,10kV创1丙备用线,创1丙线路保护,创1丙停用重合闸软压板投入,创1丙停用重合闸软压板投入,1025.0,创1丙停用重合闸软压板投入,
40,10kV创21备用线,创21开关,创21,创21,1030.0,创21,
41,10kV创21备用线,创21线路保护,创21停用重合闸软压板投入,创21停用重合闸软压板投入,1049.0,创21停用重合闸软压板投入,
42,10kV创22备用线,创22开关,创22,创22,1054.0,创22,
43,10kV创22备用线,创22线路保护,创22停用重合闸软压板投入,创22停用重合闸软压板投入,1073.0,创22停用重合闸软压板投入,
44,10kV创23国富二线,创23开关,创23,创23,1078.0,创23,
45,10kV创23国富二线,创23线路保护,创23停用重合闸软压板投入,创23停用重合闸软压板投入,1097.0,创23停用重合闸软压板投入,
46,10kV创24国富三线,创24开关,创24,创24,1102.0,创24,
