主站点号,电压等级,间隔名称,设备名称,设备大类,量测类型,信息分类,越限高限值,主站端描述,厂站端描述
0,110kV,110kV4母线,110kV4母线,交流母线,A相电压,越限,,110-4母线A相电压,110-4母线A相电压
1,110kV,110kV4母线,110kV4母线,交流母线,B相电压,越限,,110-4母线B相电压,110-4母线B相电压
2,110kV,110kV4母线,110kV4母线,交流母线,C相电压,越限,,110-4母线C相电压,110-4母线C相电压
3,110kV,110kV4母线,110kV4母线,交流母线,AB线电压,越限,,110-4母线AB线电压,110-4母线AB线电压
4,110kV,110kV5母线,110kV5母线,交流母线,A相电压,越限,,110-5母线A相电压,110-5母线A相电压
5,110kV,110kV5母线,110kV5母线,交流母线,B相电压,越限,,110-5母线B相电压,110-5母线B相电压
6,110kV,110kV5母线,110kV5母线,交流母线,C相电压,越限,,110-5母线C相电压,110-5母线C相电压
7,110kV,110kV5母线,110kV5母线,交流母线,AB线电压,越限,,110-5母线AB线电压,110-5母线AB线电压
8,35kV,35kV42母线,35kV42母线,交流母线,A相电压,越限,,35-42母线A相电压,35-42母线A相电压
9,35kV,35kV42母线,35kV42母线,交流母线,B相电压,越限,,35-42母线B相电压,35-42母线B相电压
10,35kV,35kV42母线,35kV42母线,交流母线,C相电压,越限,,35-42母线C相电压,35-42母线C相电压
11,35kV,35kV42母线,35kV42母线,交流母线,AB线电压,越限,,35-42母线AB线电压,35-42母线AB线电压
12,35kV,35kV43母线,35kV43母线,交流母线,A相电压,越限,,35-43母线A相电压,35-43母线A相电压
13,35kV,35kV43母线,35kV43母线,交流母线,B相电压,越限,,35-43母线B相电压,35-43母线B相电压
14,35kV,35kV43母线,35kV43母线,交流母线,C相电压,越限,,35-43母线C相电压,35-43母线C相电压
15,35kV,35kV43母线,35kV43母线,交流母线,AB线电压,越限,,35-43母线AB线电压,35-43母线AB线电压
16,35kV,35kV44母线,35kV44母线,交流母线,A相电压,越限,,35-44母线A相电压,35-44母线A相电压
17,35kV,35kV44母线,35kV44母线,交流母线,B相电压,越限,,35-44母线B相电压,35-44母线B相电压
18,35kV,35kV44母线,35kV44母线,交流母线,C相电压,越限,,35-44母线C相电压,35-44母线C相电压
19,35kV,35kV44母线,35kV44母线,交流母线,AB线电压,越限,,35-44母线AB线电压,35-44母线AB线电压
20,10kV,10kV42母线,10kV42母线,交流母线,A相电压,越限,,10-42母线A相电压,10-42母线A相电压
21,10kV,10kV42母线,10kV42母线,交流母线,B相电压,越限,,10-42母线B相电压,10-42母线B相电压
22,10kV,10kV42母线,10kV42母线,交流母线,C相电压,越限,,10-42母线C相电压,10-42母线C相电压
23,10kV,10kV42母线,10kV42母线,交流母线,AB线电压,越限,,10-42母线AB线电压,10-42母线AB线电压
24,10kV,10kV43母线,10kV43母线,交流母线,A相电压,越限,,10-43母线A相电压,10-43母线A相电压
25,10kV,10kV43母线,10kV43母线,交流母线,B相电压,越限,,10-43母线B相电压,10-43母线B相电压
26,10kV,10kV43母线,10kV43母线,交流母线,C相电压,越限,,10-43母线C相电压,10-43母线C相电压
27,10kV,10kV43母线,10kV43母线,交流母线,AB线电压,越限,,10-43母线AB线电压,10-43母线AB线电压
28,10kV,10kV44母线,10kV44母线,交流母线,A相电压,越限,,10-44母线A相电压,10-44母线A相电压
29,10kV,10kV44母线,10kV44母线,交流母线,B相电压,越限,,10-44母线B相电压,10-44母线B相电压
30,10kV,10kV44母线,10kV44母线,交流母线,C相电压,越限,,10-44母线C相电压,10-44母线C相电压
31,10kV,10kV44母线,10kV44母线,交流母线,AB线电压,越限,,10-44母线AB线电压,10-44母线AB线电压
32,110kV,110kV武南一线,110kV112武南一线,交流线段端点,A相电流,越限,,112开关A相电流,112开关A相电流
33,110kV,110kV武南一线,110kV112武南一线,交流线段端点,C相电流,越限,,112开关C相电流,112开关C相电流
