主站点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站端描述（合并信息填母点描述）,厂站端描述
0,110kV,公用间隔,全站事故总,二次设备,事故,,,PSCADA复归/动作,保护事件,是,事故总信号,事故总信号
1,110kV,110kV武南一线,112开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,112开关,112开关
2,110kV,110kV武南一线,112-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-2刀闸,112-2刀闸
3,110kV,110kV武南一线,112-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-17地刀,112-17地刀
4,110kV,110kV武南一线,112-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-4刀闸,112-4刀闸
5,110kV,110kV武南一线,112-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-47地刀,112-47地刀
6,110kV,110kV武南二线,113开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,113开关,113开关
7,110kV,110kV武南二线,113-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,113-2刀闸,113-2刀闸
8,110kV,110kV武南二线,113-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,113-17地刀,113-17地刀
9,110kV,110kV武南二线,113-5刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,113-5刀闸,113-5刀闸
10,110kV,110kV武南二线,113-57接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,113-57地刀,113-57地刀
11,110kV,110kV145分段,145开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,145开关,145开关
12,110kV,110kV145分段,145-5刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,145-5刀闸,145-5刀闸
13,110kV,110kV145分段,145-57接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,145-57地刀,145-57地刀
14,110kV,110kV145分段,145-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,145-4刀闸,145-4刀闸
15,110kV,110kV145分段,145-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,145-47地刀,145-47地刀
16,110kV,2号主变公用,2-7接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2-7中性点地刀,2-7中性点地刀
17,110kV,2号主变110kV侧,102-0刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,102-0刀闸,102-0刀闸
18,110kV,2号主变110kV侧,102-07接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,102-07地刀,102-07地刀
19,110kV,2号主变110kV侧,4-7接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,4-7地刀,4-7地刀
20,35kV,2号主变35kV侧,3021开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,3021开关,3021开关
21,35kV,2号主变35kV侧,3021手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,3021手车工作位置,3021手车工作位置
22,35kV,2号主变35kV侧,3022开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,3022开关,3022开关
23,35kV,2号主变35kV侧,3022手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,3022手车工作位置,3022手车工作位置
24,10kV,2号主变10kV侧,2021开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2021控制回路断线,2021控制回路断线
25,10kV,2号主变10kV侧,2021开关,交流开关,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2021开关,2021开关
26,10kV,2号主变10kV侧,2021手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,2021手车工作位置,2021手车工作位置
27,10kV,2号主变10kV侧,2022开关,交流开关,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2022开关,2022开关
28,10kV,2号主变10kV侧,2022手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,2022手车工作位置,2022手车工作位置
29,10kV,2号主变10kV侧,202-2手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,202-2隔离手车工作位置,202-2隔离手车工作位置
30,110kV,3号主变公用,3-7接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,3-7中性点地刀,3-7中性点地刀
31,110kV,3号主变110kV侧,103-0刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,103-0刀闸,103-0刀闸
32,110kV,3号主变110kV侧,103-07接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,103-07地刀,103-07地刀
33,110kV,3号主变110kV侧,5-7接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,5-7地刀,5-7地刀
34,35kV,3号主变35kV侧,303开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,303开关,303开关
35,35kV,3号主变35kV侧,303手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,303手车工作位置,303手车工作位置
36,35kV,3号主变35kV侧,303-2手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,303-2手车工作位置,303-2手车工作位置
37,10kV,3号主变10kV侧,203开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,203开关,203开关
38,10kV,3号主变10kV侧,203手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,203手车工作位置,203手车工作位置
39,35kV,35kV清蔡线,311开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,311开关,311开关
40,35kV,35kV清蔡线,311-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,311-27地刀,311-27地刀
41,35kV,35kV清蔡线,311手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,311手车工作位置,311手车工作位置
42,35kV,35kV蔡营线,313开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,313开关,313开关
43,35kV,35kV蔡营线,313-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,313-27地刀,313-27地刀
44,35kV,35kV蔡营线,313手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,313手车工作位置,313手车工作位置
45,35kV,35kV315备用线,315开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,315开关,315开关
46,35kV,35kV315备用线,315-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,315-27地刀,315-27地刀
47,35kV,35kV315备用线,315手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,315手车工作位置,315手车工作位置
48,35kV,35kV317备用线,317开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,317开关,317开关
49,35kV,35kV317备用线,317-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,317-27地刀,317-27地刀
50,35kV,35kV317备用线,317手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,317手车工作位置,317手车工作位置
51,35kV,35kV孟南线,312开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,312开关,312开关
52,35kV,35kV孟南线,312-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,312-27地刀,312-27地刀
53,35kV,35kV孟南线,312手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,312手车工作位置,312手车工作位置
54,35kV,35kV蔡用线,314开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,314开关,314开关
55,35kV,35kV蔡用线,314-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,314-27地刀,314-27地刀
56,35kV,35kV蔡用线,314手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,314手车工作位置,314手车工作位置
57,35kV,35kV316备用线,316开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,316开关,316开关
58,35kV,35kV316备用线,316-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,316-27地刀,316-27地刀
59,35kV,35kV316备用线,316手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,316手车工作位置,316手车工作位置
60,35kV,35kV阳蔡线,318开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,318开关,318开关
61,35kV,35kV阳蔡线,318-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,318-27地刀,318-27地刀
62,35kV,35kV阳蔡线,318手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,318手车工作位置,318手车工作位置
63,35kV,35kV3441分段,3441-42手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,3441-42手车工作位置,3441-42手车工作位置
64,35kV,35kV3442分段,3442开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,3442开关,3442开关
65,35kV,35kV3442分段,3442手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,3442手车工作位置,3442手车工作位置
66,35kV,35kV3442分段,3442-43手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,3442-43手车工作位置,3442-43手车工作位置
67,10kV,10kV781备用线,781开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,781负荷开关,781负荷开关
68,10kV,10kV781备用线,781-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,781-27地刀,781-27地刀
69,10kV,10kV781备用线,781手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,781手车工作位置,781手车工作位置
70,10kV,10kV莲胜线,783开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,783负荷开关,783负荷开关
71,10kV,10kV莲胜线,783-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,783-27地刀,783-27地刀
72,10kV,10kV莲胜线,783手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,783手车工作位置,783手车工作位置
73,10kV,10kV泗村店线,785开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,785负荷开关,785负荷开关
74,10kV,10kV泗村店线,785-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,785-27地刀,785-27地刀
75,10kV,10kV泗村店线,785手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,785手车工作位置,785手车工作位置
76,10kV,10kV三毛店线,787开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,787负荷开关,787负荷开关
77,10kV,10kV三毛店线,787-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,787-27地刀,787-27地刀
78,10kV,10kV三毛店线,787手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,787手车工作位置,787手车工作位置
79,10kV,10kV南翠线,789开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,789负荷开关,789负荷开关
80,10kV,10kV南翠线,789-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,789-27地刀,789-27地刀
81,10kV,10kV南翠线,789手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,789手车工作位置,789手车工作位置
82,10kV,10kV南惠一线,791开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,791负荷开关,791负荷开关
83,10kV,10kV南惠一线,791-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,791-27地刀,791-27地刀
84,10kV,10kV南惠一线,791手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,791手车工作位置,791手车工作位置
85,10kV,10kV南华一线,793开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,793负荷开关,793负荷开关
86,10kV,10kV南华一线,793-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,793-27地刀,793-27地刀
87,10kV,10kV南华一线,793手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,793手车工作位置,793手车工作位置
88,10kV,10kV南渤线,795开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,795负荷开关,795负荷开关
89,10kV,10kV南渤线,795-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,795-27地刀,795-27地刀
90,10kV,10kV南渤线,795手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,795手车工作位置,795手车工作位置
91,10kV,10kV金博二线,782开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,782负荷开关,782负荷开关
92,10kV,10kV金博二线,782-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,782-27地刀,782-27地刀
93,10kV,10kV金博二线,782手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,782手车工作位置,782手车工作位置
94,10kV,10kV张辛庄线,784开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,784负荷开关,784负荷开关
95,10kV,10kV张辛庄线,784-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,784-27地刀,784-27地刀
96,10kV,10kV张辛庄线,784手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,784手车工作位置,784手车工作位置
97,10kV,10kV北蔡村线,786开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,786负荷开关,786负荷开关
98,10kV,10kV北蔡村线,786-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,786-27地刀,786-27地刀
99,10kV,10kV北蔡村线,786手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,786手车工作位置,786手车工作位置
100,10kV,10kV788备用线,788开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,788负荷开关,788负荷开关
101,10kV,10kV788备用线,788-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,788-27地刀,788-27地刀
102,10kV,10kV788备用线,788手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,788手车工作位置,788手车工作位置
103,10kV,10kV南海线,792开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,792负荷开关,792负荷开关
104,10kV,10kV南海线,792-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,792-27地刀,792-27地刀
105,10kV,10kV南海线,792手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,792手车工作位置,792手车工作位置
106,10kV,10kV南惠二线,794开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,794负荷开关,794负荷开关
107,10kV,10kV南惠二线,794-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,794-27地刀,794-27地刀
108,10kV,10kV南惠二线,794手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,794手车工作位置,794手车工作位置
109,10kV,10kV南翡线,796开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,796负荷开关,796负荷开关
110,10kV,10kV南翡线,796-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,796-27地刀,796-27地刀
111,10kV,10kV南翡线,796手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,796手车工作位置,796手车工作位置
112,10kV,10kV南华二线,798开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,798负荷开关,798负荷开关
113,10kV,10kV南华二线,798-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,798-27地刀,798-27地刀
114,10kV,10kV南华二线,798手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,798手车工作位置,798手车工作位置
115,10kV,10kV2063电容器,2063开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,2063电容器开关,2063电容器开关
116,10kV,10kV2063电容器,2063-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2063-27地刀,2063-27地刀
117,10kV,10kV2063电容器,2063手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,2063手车工作位置,2063手车工作位置
118,10kV,10kV2063电容器,2063-3刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2063-3刀闸,2063-3刀闸
119,10kV,10kV2063电容器,2063-37接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2063-37地刀,2063-37地刀
120,10kV,10kV2063电容器,2063-1刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2063-1刀闸,2063-1刀闸
