主站点号,间隔名称,设备名称,主站端描述,对应遥信点名称,遥信的点号,厂站端描述,量测类型
0,110kV武南一线,112开关,112开关,112开关,1.0,112开关,
1,110kV武南一线,112-4刀闸,112-4刀闸,112-4刀闸,4.0,112-4刀闸,
2,110kV武南一线,112-47接地刀闸,112-47地刀,112-47地刀,5.0,112-47地刀,
3,110kV武南一线,112-2刀闸,112-2刀闸,112-2刀闸,2.0,112-2刀闸,
4,110kV武南一线,112-17接地刀闸,112-17地刀,112-17地刀,3.0,112-17地刀,
5,110kV武南二线,113开关,113开关,113开关,6.0,113开关,
6,110kV武南二线,113-5刀闸,113-5刀闸,113-5刀闸,9.0,113-5刀闸,
7,110kV武南二线,113-57接地刀闸,113-57地刀,113-57地刀,10.0,113-57地刀,
8,110kV武南二线,113-2刀闸,113-2刀闸,113-2刀闸,7.0,113-2刀闸,
9,110kV武南二线,113-17接地刀闸,113-17地刀,113-17地刀,8.0,113-17地刀,
10,110kV145分段,145开关,145开关,145开关,11.0,145开关,
11,110kV145分段,145-4刀闸,145-4刀闸,145-4刀闸,14.0,145-4刀闸,
12,110kV145分段,145-47接地刀闸,145-47地刀,145-47地刀,15.0,145-47地刀,
13,110kV145分段,145-5刀闸,145-5刀闸,145-5刀闸,12.0,145-5刀闸,
14,110kV145分段,145-57接地刀闸,145-57地刀,145-57地刀,13.0,145-57地刀,
15,2号主变110kV侧,102-0刀闸,102-0刀闸,102-0刀闸,17.0,102-0刀闸,
16,2号主变公用,2-7接地刀闸,2-7中性点地刀,2-7中性点地刀,16.0,2-7中性点地刀,
17,2号主变35kV侧,3021开关,3021开关,3021开关,20.0,3021开关,
18,2号主变35kV侧,3022开关,3022开关,3022开关,22.0,3022开关,
19,2号主变10kV侧,2021开关,2021开关,2021开关,25.0,2021开关,
20,2号主变10kV侧,2022开关,2022开关,2022开关,27.0,2022开关,
21,2号主变,2号主变,2#主变分接开关档位,,,2#主变分接开关档位,变压器升降档
22,2号主变,2号主变,2#主变分接开关档位急停,,,2#主变分接开关档位急停,变压器急停
23,3号主变110kV侧,103-0刀闸,103-0刀闸,103-0刀闸,31.0,103-0刀闸,
24,3号主变公用,3-7接地刀闸,3-7中性点地刀,3-7中性点地刀,30.0,3-7中性点地刀,
25,3号主变35kV侧,303开关,303开关,303开关,34.0,303开关,
26,3号主变10kV侧,203开关,203开关,203开关,37.0,203开关,
27,3号主变,3号主变,3#主变分接开关档位,,,3#主变分接开关档位,变压器升降档
28,3号主变,3号主变,3#主变分接开关档位急停,,,3#主变分接开关档位急停,变压器急停
29,35kV清蔡线,311开关,311开关,311开关,39.0,311开关,
30,35kV蔡营线,313开关,313开关,313开关,42.0,313开关,
31,35kV315备用线,315开关,315开关,315开关,45.0,315开关,
32,35kV317备用线,317开关,317开关,317开关,48.0,317开关,
33,35kV孟南线,312开关,312开关,312开关,51.0,312开关,
34,35kV蔡用线,314开关,314开关,314开关,54.0,314开关,
35,35kV316备用线,316开关,316开关,316开关,57.0,316开关,
36,35kV阳蔡线,318开关,318开关,318开关,60.0,318开关,
37,35kV3442分段,3442开关,3442开关,3442开关,64.0,3442开关,
38,10kV781备用线,781开关,781负荷开关,781负荷开关,67.0,781负荷开关,
39,10kV莲胜线,783开关,783负荷开关,783负荷开关,70.0,783负荷开关,
40,10kV泗村店线,785开关,785负荷开关,785负荷开关,73.0,785负荷开关,
41,10kV三毛店线,787开关,787负荷开关,787负荷开关,76.0,787负荷开关,
42,10kV南翠线,789开关,789负荷开关,789负荷开关,79.0,789负荷开关,
43,10kV南惠一线,791开关,791负荷开关,791负荷开关,82.0,791负荷开关,
44,10kV南华一线,793开关,793负荷开关,793负荷开关,85.0,793负荷开关,
45,10kV南渤线,795开关,795负荷开关,795负荷开关,88.0,795负荷开关,
46,10kV金博二线,782开关,782负荷开关,782负荷开关,91.0,782负荷开关,
47,10kV张辛庄线,784开关,784负荷开关,784负荷开关,94.0,784负荷开关,
48,10kV北蔡村线,786开关,786负荷开关,786负荷开关,97.0,786负荷开关,
49,10kV788备用线,788开关,788负荷开关,788负荷开关,100.0,788负荷开关,
50,10kV南海线,792开关,792负荷开关,792负荷开关,103.0,792负荷开关,
51,10kV南惠二线,794开关,794负荷开关,794负荷开关,106.0,794负荷开关,
52,10kV南翡线,796开关,796负荷开关,796负荷开关,109.0,796负荷开关,
53,10kV南华二线,798开关,798负荷开关,798负荷开关,112.0,798负荷开关,
54,10kV2063电容器,2063开关,2063电容器开关,2063电容器开关,115.0,2063电容器开关,
55,10kV2064电容器,2064开关,2064电容器开关,2064电容器开关,122.0,2064电容器开关,
