点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站描述,厂站端描述
0,110kV,公用间隔,全站事故总,二次设备,事故,,,PSCADA复归/动作,保护事件,是,事故总信号,事故总信号
1,110kV,110kV高马一线,111开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,111开关,111开关
2,110kV,110kV高马一线,111-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,111-4刀闸,111-4刀闸
3,110kV,110kV高马一线,111-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,111-47地刀,111-47地刀
4,110kV,110kV高马一线,111-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,111-2刀闸,111-2刀闸
5,110kV,110kV高马一线,111-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,111-17地刀,111-17地刀
6,110kV,110kV高马二线,112开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,112开关,112开关
7,110kV,110kV高马二线,112-5刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-5刀闸,112-5刀闸
8,110kV,110kV高马二线,112-57接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-57地刀,112-57地刀
9,110kV,110kV高马二线,112-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-2刀闸,112-2刀闸
10,110kV,110kV高马二线,112-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-17地刀,112-17地刀
11,110kV,110kV145分段,145开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,145母联开关,145母联开关
12,110kV,110kV145分段,145-5刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,145-5刀闸,145-5刀闸
13,110kV,110kV145分段,145-57接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,145-57地刀,145-57地刀
14,110kV,110kV145分段,145-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,145-4刀闸,145-4刀闸
15,110kV,110kV145分段,145-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,145-47地刀,145-47地刀
16,110kV,1号主变110kV侧,1-7刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,1-7刀闸,1-7刀闸
17,110kV,1号主变110kV侧,101-0刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,101-0刀闸,101-0刀闸
18,110kV,1号主变110kV侧,101-07刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,101-07刀闸,101-07刀闸
19,110kV,1号主变110kV侧,4-7刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,4-7刀闸,4-7刀闸
20,35kV,1号主变35kV侧,301开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,301开关,301开关
21,35kV,1号主变35kV侧,301开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,301手车工作位置,301手车工作位置
22,35kV,1号主变35kV侧,301-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,301-2刀闸,301-2刀闸
23,10kV,1号主变10kV侧,201开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,201开关,201开关
24,10kV,1号主变10kV侧,201开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,201手车工作位置,201手车工作位置
25,110kV,2号主变110kV侧,2-7刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2-7刀闸,2-7刀闸
26,110kV,2号主变110kV侧,102-0刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,102-0刀闸,102-0刀闸
27,110kV,2号主变110kV侧,102-07刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,102-07刀闸,102-07刀闸
28,110kV,2号主变110kV侧,5-7刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,5-7刀闸,5-7刀闸
29,35kV,2号主变35kV侧,302开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,302开关,302开关
30,35kV,2号主变35kV侧,302开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,302手车工作位置,302手车工作位置
31,35kV,2号主变35kV侧,302-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,302-2刀闸,302-2刀闸
32,10kV,2号主变10kV侧,202开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,202开关,202开关
33,10kV,2号主变10kV侧,202开关手车,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,202手车工作位置,202手车工作位置
34,35kV,35kV311备用线,311开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,311开关,311开关
