主站点号,间隔名称,设备名称,主站端描述,对应遥信点名称,遥信的点号,厂站端描述,量测类型
1,10kV圈宏线,151开关,151负荷开关,151负荷开关,61.0,151负荷开关,
2,10kV银海线,153开关,153负荷开关,153负荷开关,64.0,153负荷开关,
3,10kV落垡线,155开关,155负荷开关,155负荷开关,67.0,155负荷开关,
4,10kV157备用线,157开关,157负荷开关,157负荷开关,70.0,157负荷开关,
5,10kV奥朗斯线,159开关,159负荷开关,159负荷开关,73.0,159负荷开关,
6,10kV董标垡线,161开关,161负荷开关,161负荷开关,76.0,161负荷开关,
7,10kV150接地变,150开关,150负荷开关,150负荷开关,79.0,150负荷开关,
8,10kV165备用线,165开关,165负荷开关,165负荷开关,82.0,165负荷开关,
9,10kV马圈东线,152开关,152负荷开关,152负荷开关,85.0,152负荷开关,
10,10kV马圈西线,154开关,154负荷开关,154负荷开关,88.0,154负荷开关,
11,10kV和瑞园线,156开关,156负荷开关,156负荷开关,91.0,156负荷开关,
12,10kV汇利线,158开关,158负荷开关,158负荷开关,94.0,158负荷开关,
13,10kV162备用线,162开关,162负荷开关,162负荷开关,97.0,162负荷开关,
14,10kV颐西湖线,164开关,164负荷开关,164负荷开关,100.0,164负荷开关,
15,10kV160接地变,160开关,160负荷开关,160负荷开关,103.0,160负荷开关,
16,10kV168备用线,168开关,168负荷开关,168负荷开关,106.0,168负荷开关,
17,10kV2061电容器,2061开关,2061电容器开关,2061电容器开关,109.0,2061电容器开关,
18,10kV2062电容器,2062开关,2062电容器开关,2062电容器开关,116.0,2062电容器开关,
19,10kV2071电容器,2071开关,2071电容器开关,2071电容器开关,123.0,2071电容器开关,
20,10kV2072电容器,2072开关,2072电容器开关,2072电容器开关,130.0,2072电容器开关,
21,35kV311备用线,311开关,311开关,311开关,34.0,311开关,
22,35kV313备用线,313开关,313开关,313开关,37.0,313开关,
23,35kV315备用线,315开关,315开关,315开关,40.0,315开关,
24,35kV马营线,317开关,317开关,317开关,43.0,317开关,
25,35kV马城线,312开关,312开关,312开关,46.0,312开关,
26,35kV314备用线,314开关,314开关,314开关,49.0,314开关,
27,35kV316备用线,316开关,316开关,316开关,52.0,316开关,
