主站点号,电压等级,间隔名称,设备名称,设备大类,量测类型,信息分类,越限高限值,主站端描述,厂站端描述
0,35kV,35kV源灰一线,35kV313源灰一线,交流线段端点,A相电流,越限,,313电流Ia,313电流Ia
1,35kV,35kV源灰一线,35kV313源灰一线,交流线段端点,B相电流,越限,,313电流Ib,313电流Ib
2,35kV,35kV源灰一线,35kV313源灰一线,交流线段端点,C相电流,越限,,313电流Ic,313电流Ic
3,35kV,35kV源灰一线,35kV313源灰一线,交流线段端点,有功,越限,,313有功P,313有功P
4,35kV,35kV源灰一线,35kV313源灰一线,交流线段端点,无功,越限,,313无功Q,313无功Q
5,35kV,35kV源灰一线,35kV313源灰一线,交流线段端点,功率因数,越限,,313功率因数COS,313功率因数COS
6,10kV,1号主变,1号主变10kV侧,变压器绕组,A相电流,越限,,201电流Ia,201电流Ia
7,10kV,1号主变,1号主变10kV侧,变压器绕组,B相电流,越限,,201电流Ib,201电流Ib
8,10kV,1号主变,1号主变10kV侧,变压器绕组,C相电流,越限,,201电流Ic,201电流Ic
9,10kV,1号主变,1号主变10kV侧,变压器绕组,有功,越限,,201有功P,201有功P
10,10kV,1号主变,1号主变10kV侧,变压器绕组,无功,越限,,201无功Q,201无功Q
11,10kV,1号主变,1号主变10kV侧,变压器绕组,功率因数,越限,,201功率因数COS,201功率因数COS
12,35kV,35kV源灰二线,35kV316源灰二线,交流线段端点,A相电流,越限,,316电流Ia,316电流Ia
13,35kV,35kV源灰二线,35kV316源灰二线,交流线段端点,B相电流,越限,,316电流Ib,316电流Ib
14,35kV,35kV源灰二线,35kV316源灰二线,交流线段端点,C相电流,越限,,316电流Ic,316电流Ic
15,35kV,35kV源灰二线,35kV316源灰二线,交流线段端点,有功,越限,,316有功P,316有功P
16,35kV,35kV源灰二线,35kV316源灰二线,交流线段端点,无功,越限,,316无功Q,316无功Q
17,35kV,35kV源灰二线,35kV316源灰二线,交流线段端点,功率因数,越限,,316功率因数COS,316功率因数COS
18,10kV,2号主变,2号主变10kV侧,变压器绕组,A相电流,越限,,202电流Ia,202电流Ia
19,10kV,2号主变,2号主变10kV侧,变压器绕组,B相电流,越限,,202电流Ib,202电流Ib
20,10kV,2号主变,2号主变10kV侧,变压器绕组,C相电流,越限,,202电流Ic,202电流Ic
21,10kV,2号主变,2号主变10kV侧,变压器绕组,有功,越限,,202有功P,202有功P
22,10kV,2号主变,2号主变10kV侧,变压器绕组,无功,越限,,202无功Q,202无功Q
23,10kV,2号主变,2号主变10kV侧,变压器绕组,功率因数,越限,,202功率因数COS,202功率因数COS
24,35kV,1号主变,1号主变机构,辅助设备,,越限,,1号主变油温,1号主变油温
25,35kV,1号主变,1号主变35kV侧,变压器绕组,档位,,,1号主变档位,1号主变档位
26,35kV,2号主变,2号主变机构,辅助设备,,越限,,2号主变油温,2号主变油温
27,35kV,2号主变,2号主变35kV侧,变压器绕组,档位,,,2号主变档位,2号主变档位
28,10kV,10kV聂庄子线,10kV271聂庄子线,交流线段端点,A相电流,越限,,271电流Ia,271电流Ia
29,10kV,10kV聂庄子线,10kV271聂庄子线,交流线段端点,B相电流,越限,,271电流Ib,271电流Ib
30,10kV,10kV聂庄子线,10kV271聂庄子线,交流线段端点,C相电流,越限,,271电流Ic,271电流Ic
31,10kV,10kV聂庄子线,10kV271聂庄子线,交流线段端点,有功,越限,,271有功P,271有功P
32,10kV,10kV聂庄子线,10kV271聂庄子线,交流线段端点,无功,越限,,271无功Q,271无功Q
33,10kV,10kV聂庄子线,10kV271聂庄子线,交流线段端点,功率因数,越限,,271功率因数COS,271功率因数COS
34,10kV,10kV张大庄线,10kV272张大庄线,交流线段端点,A相电流,越限,,272电流Ia,272电流Ia
35,10kV,10kV张大庄线,10kV272张大庄线,交流线段端点,B相电流,越限,,272电流Ib,272电流Ib
36,10kV,10kV张大庄线,10kV272张大庄线,交流线段端点,C相电流,越限,,272电流Ic,272电流Ic
37,10kV,10kV张大庄线,10kV272张大庄线,交流线段端点,有功,越限,,272有功P,272有功P
38,10kV,10kV张大庄线,10kV272张大庄线,交流线段端点,无功,越限,,272无功Q,272无功Q
