主站点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站端描述（合并信息填母点描述）,厂站端描述
0,35kV,公用间隔,全站事故总,二次设备,事故,,,PSCADA复归/动作,保护事件,是,全站事故总,全站事故总
1,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,1#主变保护A检修压板投入,1#主变保护A检修压板投入
2,35kV,1号主变公用,1号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护A纵差差动速断动作,1#主变保护A纵差差动速断动作
3,35kV,1号主变公用,1号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护A纵差保护动作,1#主变保护A纵差保护动作
4,35kV,1号主变公用,1号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护A高复流Ⅲ段2时限动作,1#主变保护A高复流Ⅲ段2时限动作
5,35kV,1号主变公用,1号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护A低复流Ⅱ段1时限动作,1#主变保护A低复流Ⅱ段1时限动作
6,35kV,1号主变公用,1号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护A低复流Ⅱ段2时限动作,1#主变保护A低复流Ⅱ段2时限动作
7,35kV,1号主变公用,1号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护A低复流Ⅲ段2时限动作,1#主变保护A低复流Ⅲ段2时限动作
8,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护A闭锁345备自投,1#主变保护A闭锁345备自投
9,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护A闭锁245备自投,1#主变保护A闭锁245备自投
10,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护A保护装置异常,1#主变保护A保护装置异常
11,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护A高压侧313CT断线,1#主变保护A高压侧313CT断线
12,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护A高压桥345CT断线,1#主变保护A高压桥345CT断线
13,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护A低压侧201CT断线,1#主变保护A低压侧201CT断线
14,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护A高压侧313PT断线,1#主变保护A高压侧313PT断线
15,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护A低压侧201PT断线,1#主变保护A低压侧201PT断线
16,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护A高压侧313过负荷告警,1#主变保护A高压侧313过负荷告警
17,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护A主变过载闭锁有载调压,1#主变保护A主变过载闭锁有载调压
18,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护A低压侧201过负荷告警,1#主变保护A低压侧201过负荷告警
19,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCBDB退出/投入,一般遥信,是,1#主变保护B检修压板投入,1#主变保护B检修压板投入
20,35kV,1号主变公用,1号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,1#主变保护B纵差差动速断动作,1#主变保护B纵差差动速断动作
21,35kV,1号主变公用,1号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,1#主变保护B纵差保护动作,1#主变保护B纵差保护动作
22,35kV,1号主变公用,1号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,1#主变保护B高复流Ⅲ段2时限动作,1#主变保护B高复流Ⅲ段2时限动作
23,35kV,1号主变公用,1号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,1#主变保护B低复流Ⅱ段1时限动作,1#主变保护B低复流Ⅱ段1时限动作
24,35kV,1号主变公用,1号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,1#主变保护B低复流Ⅱ段2时限动作,1#主变保护B低复流Ⅱ段2时限动作
25,35kV,1号主变公用,1号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,1#主变保护B低复流Ⅲ段2时限动作,1#主变保护B低复流Ⅲ段2时限动作
26,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,1#主变保护B闭锁345备自投,1#主变保护B闭锁345备自投
27,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,1#主变保护B闭锁245备自投,1#主变保护B闭锁245备自投
29,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,1#主变保护B高压侧313CT断线,1#主变保护B高压侧313CT断线
30,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,1#主变保护B高压桥345CT断线,1#主变保护B高压桥345CT断线
31,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,1#主变保护B低压侧201CT断线,1#主变保护B低压侧201CT断线
32,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,1#主变保护B高压侧313PT断线,1#主变保护B高压侧313PT断线
33,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,1#主变保护B低压侧201PT断线,1#主变保护B低压侧201PT断线
34,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,1#主变保护B高压侧313过负荷告警,1#主变保护B高压侧313过负荷告警
35,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,1#主变保护B主变过载闭锁有载调压,1#主变保护B主变过载闭锁有载调压
36,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCBDB复归/告警,二次设备异常告警,是,1#主变保护B低压侧201过负荷告警,1#主变保护B低压侧201过负荷告警
37,35kV,1号主变公用,1号主变非电量保护,二次设备,异常,,,PSCBDB退出/投入,一般遥信,是,1#主变非电量保护检修压板投入,1#主变非电量保护检修压板投入
38,35kV,1号主变公用,1号主变保护A,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,1#主变保护A保护装置通信中断,1#主变保护A保护装置通信中断
39,35kV,1号主变公用,1号主变保护B,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,1#主变保护B保护装置通信中断,1#主变保护B保护装置通信中断
40,35kV,1号主变公用,1号主变非电量保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,1#主变非电量保护保护装置通信中断,1#主变非电量保护保护装置通信中断
41,35kV,2号主变公用,2号主变保护A,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,2#主变保护A检修压板投入,2#主变保护A检修压板投入
42,35kV,2号主变公用,2号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2#主变保护A纵差差动速断动作,2#主变保护A纵差差动速断动作
43,35kV,2号主变公用,2号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2#主变保护A纵差保护动作,2#主变保护A纵差保护动作
44,35kV,2号主变公用,2号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2#主变保护A高复流Ⅲ段2时限动作,2#主变保护A高复流Ⅲ段2时限动作
45,35kV,2号主变公用,2号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2#主变保护A低复流Ⅱ段1时限动作,2#主变保护A低复流Ⅱ段1时限动作
46,35kV,2号主变公用,2号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2#主变保护A低复流Ⅱ段2时限动作,2#主变保护A低复流Ⅱ段2时限动作
47,35kV,2号主变公用,2号主变保护A,二次设备,事故,,,PSCADA复归/动作,保护事件,是,2#主变保护A低复流Ⅲ段2时限动作,2#主变保护A低复流Ⅲ段2时限动作
48,35kV,2号主变公用,2号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#主变保护A闭锁345备自投,2#主变保护A闭锁345备自投
49,35kV,2号主变公用,2号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#主变保护A闭锁245备自投,2#主变保护A闭锁245备自投
51,35kV,2号主变公用,2号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#主变保护A高压侧316CT断线,2#主变保护A高压侧316CT断线
52,35kV,2号主变公用,2号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#主变保护A高压桥345CT断线,2#主变保护A高压桥345CT断线
53,35kV,2号主变公用,2号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#主变保护A低压侧202CT断线,2#主变保护A低压侧202CT断线
54,35kV,2号主变公用,2号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#主变保护A高压侧316PT断线,2#主变保护A高压侧316PT断线
55,35kV,2号主变公用,2号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#主变保护A低压侧202PT断线,2#主变保护A低压侧202PT断线
56,35kV,2号主变公用,2号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#主变保护A高压侧316过负荷告警,2#主变保护A高压侧316过负荷告警
57,35kV,2号主变公用,2号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#主变保护A主变过载闭锁有载调压,2#主变保护A主变过载闭锁有载调压
58,35kV,2号主变公用,2号主变保护A,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,2#主变保护A低压侧202过负荷告警,2#主变保护A低压侧202过负荷告警
59,35kV,2号主变公用,2号主变保护B,二次设备,异常,,,PSCBDB退出/投入,一般遥信,是,2#主变保护B检修压板投入,2#主变保护B检修压板投入
60,35kV,2号主变公用,2号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,2#主变保护B纵差差动速断动作,2#主变保护B纵差差动速断动作
61,35kV,2号主变公用,2号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,2#主变保护B纵差保护动作,2#主变保护B纵差保护动作
62,35kV,2号主变公用,2号主变保护B,二次设备,事故,,,PSCBDB复归/动作,保护事件,是,2#主变保护B高复流Ⅲ段2时限动作,2#主变保护B高复流Ⅲ段2时限动作
