主站点号,间隔名称,设备名称,主站端描述,对应遥信点名称,遥信的点号,厂站端描述,量测类型
0,公用间隔,全站总复归,全站总复归,全站总复归,2000.0,全站总复归,
1,35kV313源灰一线,313开关,313开关合位,313开关合位,103.0,313开关合位,
2,1号主变10kV侧,201开关,201开关合位,201开关合位,123.0,201开关合位,
3,35kV316源灰二线,316开关,316开关合位,316开关合位,157.0,316开关合位,
4,2号主变10kV侧,202开关,202开关合位,202开关合位,177.0,202开关合位,
5,35kV345分段,345开关,345开关合位,345开关合位,529.0,345开关合位,
6,10kV245分段,245开关,245开关合位,245开关合位,501.0,245开关合位,
7,10kV271聂庄子线,271开关,271开关合位,271开关合位,322.0,271开关合位,
8,10kV272张大庄线,272开关,272开关合位,272开关合位,342.0,272开关合位,
9,10kV273王塘庄线,273开关,273开关合位,273开关合位,302.0,273开关合位,
10,10kV274富民B区线,274开关,274开关合位,274开关合位,362.0,274开关合位,
11,10kV275灰锅口线,275开关,275开关合位,275开关合位,282.0,275开关合位,
12,10kV276备用线,276开关,276开关合位,276开关合位,382.0,276开关合位,
13,10kV277备用线,277开关,277开关合位,277开关合位,262.0,277开关合位,
14,10kV278备用线,278开关,278开关合位,278开关合位,402.0,278开关合位,
15,10kV206电容器,206开关,206开关合位,206开关合位,421.0,206开关合位,
16,10kV207电容器,207开关,207开关合位,207开关合位,442.0,207开关合位,
17,10kV灰10接地变,灰10开关,灰10开关合位,灰10开关合位,462.0,灰10开关合位,
18,10kV灰20接地变,灰20开关,灰20开关合位,灰20开关合位,480.0,灰20开关合位,
19,10kV271聂庄子线,271线路保护,271停用保护重合闸软压板,271停用保护重合闸软压板,329.0,271停用保护重合闸软压板,
20,10kV272张大庄线,272线路保护,272停用保护重合闸软压板,272停用保护重合闸软压板,349.0,272停用保护重合闸软压板,
21,10kV273王塘庄线,273线路保护,273停用保护重合闸软压板,273停用保护重合闸软压板,309.0,273停用保护重合闸软压板,
22,10kV274富民B区线,274线路保护,274停用保护重合闸软压板,274停用保护重合闸软压板,369.0,274停用保护重合闸软压板,
23,10kV275灰锅口线,275线路保护,275停用保护重合闸软压板,275停用保护重合闸软压板,289.0,275停用保护重合闸软压板,
24,10kV276备用线,276线路保护,276停用保护重合闸软压板,276停用保护重合闸软压板,389.0,276停用保护重合闸软压板,
25,10kV277备用线,277线路保护,277停用保护重合闸软压板,277停用保护重合闸软压板,268.0,277停用保护重合闸软压板,
26,10kV278备用线,278线路保护,278停用保护重合闸软压板,278停用保护重合闸软压板,408.0,278停用保护重合闸软压板,
27,1号主变,1号主变,1#主变分接头位置升/降,,,1#主变分接头位置升/降,变压器升降档
28,1号主变,1号主变,1#主变调档急停,,,1#主变调档急停,变压器急停
29,2号主变,2号主变,2#主变分接头位置升/降,,,2#主变分接头位置升/降,变压器升降档
30,2号主变,2号主变,2#主变调档急停,,,2#主变调档急停,变压器急停
31,35kV345分段,345备自投保护,345自投跳313合345软压板,345自投跳313合345软压板,627.0,345自投跳313合345软压板,
32,35kV345分段,345备自投保护,345自投跳316合345软压板,345自投跳316合345软压板,628.0,345自投跳316合345软压板,
33,10kV245分段,245备自投保护,245自投跳201合245软压板,245自投跳201合245软压板,629.0,245自投跳201合245软压板,
34,10kV245分段,245备自投保护,245自投跳202合245软压板,245自投跳202合245软压板,630.0,245自投跳202合245软压板,
35,35kV345分段,345备自投保护,345备自投互投软压板投入,345备自投互投软压板投入,534.0,345备自投互投软压板投入,
