主站点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站端描述（合并信息填母点描述）,厂站端描述
0,110kV,1号主变公用,1-7中性点地刀,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,1-7,1-7
1,110kV,1号主变公用,1-7刀闸机构,辅助设备,告知,,,PSCADA远方/就地,一般遥信,是,1-7刀闸机构就地控制,1-7刀闸机构就地控制
2,110kV,1号主变公用,1-7刀闸机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1-7刀闸电机电源消失,1-7刀闸电机电源消失
3,110kV,1号主变公用,1号主变机构,辅助设备,事故,,,PSCADA复归/动作,主设备故障告警,是,1#主变本体重瓦斯跳闸,1#主变本体重瓦斯跳闸
4,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1#主变本体轻瓦斯告警,1#主变本体轻瓦斯告警
5,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1#主变本体压力释放告警,1#主变本体压力释放告警
6,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1#主变本体油温高告警,1#主变本体油温高告警
7,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1#主变本体油位异常,1#主变本体油位异常
8,110kV,1号主变公用,1号主变机构,辅助设备,事故,,,PSCADA复归/动作,主设备故障告警,是,1#主变有载重瓦斯跳闸,1#主变有载重瓦斯跳闸
9,110kV,1号主变公用,1号主变机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1#主变有载轻瓦斯告警,1#主变有载轻瓦斯告警
10,110kV,1号主变公用,1号主变非电量保护,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,1#主变本体非电量保护装置故障,1#主变本体非电量保护装置故障
11,110kV,1号主变公用,1号主变非电量保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变本体非电量保护装置异常,1#主变本体非电量保护装置异常
12,110kV,1号主变公用,1号主变非电量保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变本体非电量保护动作,1#主变本体非电量保护动作
13,110kV,1号主变公用,1号主变非电量保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,1#主变本体非电量保护装置通信中断,1#主变本体非电量保护装置通信中断
14,110kV,1号主变公用,1号主变非电量保护,二次设备,异常,,,PSCADA退出/投入,二次设备异常告警,是,1#主变本体非电量保护装置检修压板投入,1#主变本体非电量保护装置检修压板投入
15,110kV,1号主变公用,1号主变保护1,二次设备,异常,,,PSCADA复归/告警,二次设备故障告警,是,1#主变保护1装置故障,1#主变保护1装置故障
16,110kV,1号主变公用,1号主变保护1,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,1#主变保护1装置异常,1#主变保护1装置异常
17,110kV,1号主变公用,1号主变保护1,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,1#主变保护1通信中断,1#主变保护1通信中断
18,110kV,1号主变公用,1号主变保护1,二次设备,异常,,,PSCADA退出/投入,二次设备异常告警,是,1#主变保护1检修压板投入,1#主变保护1检修压板投入
19,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1保护动作,1#主变保护1保护动作
20,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1纵差保护动作,1#主变保护1纵差保护动作
21,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1差动速断保护动作,1#主变保护1差动速断保护动作
22,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高复压过流I段1时限动作,1#主变保护1高复压过流I段1时限动作
23,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高复压过流I段2时限动作,1#主变保护1高复压过流I段2时限动作
24,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高复压过流I段3时限动作,1#主变保护1高复压过流I段3时限动作
25,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高复压过流II段1时限动作,1#主变保护1高复压过流II段1时限动作
26,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高复压过流II段2时限动作,1#主变保护1高复压过流II段2时限动作
27,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高复压过流III段1时限动作,1#主变保护1高复压过流III段1时限动作
28,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高零序过流I段1时限动作,1#主变保护1高零序过流I段1时限动作
29,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高零序过流I段2时限动作,1#主变保护1高零序过流I段2时限动作
30,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高零序过流I段3时限动作,1#主变保护1高零序过流I段3时限动作
31,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高零序过流II段1时限动作,1#主变保护1高零序过流II段1时限动作
32,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高零序过流II段2时限动作,1#主变保护1高零序过流II段2时限动作
33,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高零序过流III段1时限动作,1#主变保护1高零序过流III段1时限动作
34,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高间隙过流1时限动作,1#主变保护1高间隙过流1时限动作
35,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高间隙过流2时限动作,1#主变保护1高间隙过流2时限动作
36,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高零序过压1时限动作,1#主变保护1高零序过压1时限动作
37,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1高零序过压2时限动作,1#主变保护1高零序过压2时限动作
38,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1低复压过流I段1时限动作,1#主变保护1低复压过流I段1时限动作
39,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1低复压过流I段2时限动作,1#主变保护1低复压过流I段2时限动作
40,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1低复压过流I段3时限动作,1#主变保护1低复压过流I段3时限动作
41,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1低复压过流II段1时限动作,1#主变保护1低复压过流II段1时限动作
42,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1低复压过流II段2时限动作,1#主变保护1低复压过流II段2时限动作
43,110kV,1号主变公用,1号主变保护1,二次设备,事故,,,PSCADA复归/动作,保护事件,是,1#主变保护1低复压过流II段3时限动作,1#主变保护1低复压过流II段3时限动作
