主站点号,间隔名称,设备名称,主站端描述,对应遥信点名称,遥信的点号,厂站端描述,量测类型
0,1号主变,1号主变110kV侧,1#主变分接头位置升/降,,,1#主变分接头位置升/降,变压器升降档
1,110kV孟驿二线,111开关,111,111,207.0,111,
2,1号主变10kV侧,201开关,201,201,316.0,201,
3,1号主变公用,1-7中性点地刀,1-7,1-7,0.0,1-7,
4,2号主变,2号主变110kV侧,2#主变分接头位置升/降,,,2#主变分接头位置升/降,变压器升降档
5,110kV武南一线,112开关,112,112,236.0,112,
6,2号主变10kV侧,202开关,202,202,327.0,202,
7,2号主变公用,2-7中性点地刀,2-7,2-7,103.0,2-7,
8,110kV145分段,145开关,145,145,265.0,145,
9,110kV145分段,145备自投保护,145互投软压板投入,145互投软压板投入,301.0,145互投软压板投入,
10,110kV145分段,145备自投保护,145自投跳111合145软压板,145自投跳111合145软压板,303.0,145自投跳111合145软压板,
11,110kV145分段,145备自投保护,145自投跳112合145软压板,145自投跳112合145软压板,302.0,145自投跳112合145软压板,
12,10kV电信五线,赛11开关,赛11,赛11,359.0,赛11,
13,10kV电信五线,赛11线路保护,赛11重合闸软压板投入,赛11重合闸软压板投入,367.0,赛11重合闸软压板投入,
14,10kV电信四线,赛13开关,赛13,赛13,384.0,赛13,
15,10kV电信四线,赛13线路保护,赛13重合闸软压板投入,赛13重合闸软压板投入,392.0,赛13重合闸软压板投入,
16,10kV电信三线,赛15开关,赛15,赛15,409.0,赛15,
17,10kV电信三线,赛15线路保护,赛15重合闸软压板投入,赛15重合闸软压板投入,417.0,赛15重合闸软压板投入,
18,10kV帕克一线,赛17开关,赛17,赛17,434.0,赛17,
19,10kV帕克一线,赛17线路保护,赛17重合闸软压板投入,赛17重合闸软压板投入,442.0,赛17重合闸软压板投入,
20,10kV平洋一线,赛19开关,赛19,赛19,459.0,赛19,
21,10kV平洋一线,赛19线路保护,赛19重合闸软压板投入,赛19重合闸软压板投入,467.0,赛19重合闸软压板投入,
22,10kV高创线,赛21开关,赛21,赛21,484.0,赛21,
23,10kV高创线,赛21线路保护,赛21重合闸软压板投入,赛21重合闸软压板投入,492.0,赛21重合闸软压板投入,
24,10kV臻芸一线,赛23开关,赛23,赛23,509.0,赛23,
25,10kV臻芸一线,赛23线路保护,赛23重合闸软压板投入,赛23重合闸软压板投入,517.0,赛23重合闸软压板投入,
26,10kV富瑞一线,赛25开关,赛25,赛25,534.0,赛25,
27,10kV富瑞一线,赛25线路保护,赛25重合闸软压板投入,赛25重合闸软压板投入,542.0,赛25重合闸软压板投入,
28,10kV芸科一线,赛27开关,赛27,赛27,559.0,赛27,
29,10kV芸科一线,赛27线路保护,赛27重合闸软压板投入,赛27重合闸软压板投入,567.0,赛27重合闸软压板投入,
30,10kV中铁一线,赛29开关,赛29,赛29,584.0,赛29,
31,10kV中铁一线,赛29线路保护,赛29重合闸软压板投入,赛29重合闸软压板投入,592.0,赛29重合闸软压板投入,
32,10kV铁信一线,赛31开关,赛31,赛31,609.0,赛31,
33,10kV铁信一线,赛31线路保护,赛31重合闸软压板投入,赛31重合闸软压板投入,617.0,赛31重合闸软压板投入,
34,10kV信大一线,赛33开关,赛33,赛33,634.0,赛33,
35,10kV信大一线,赛33线路保护,赛33重合闸软压板投入,赛33重合闸软压板投入,642.0,赛33重合闸软压板投入,
36,10kV芸科二线,赛12开关,赛12,赛12,686.0,赛12,
37,10kV芸科二线,赛12线路保护,赛12重合闸软压板投入,赛12重合闸软压板投入,694.0,赛12重合闸软压板投入,
38,10kV臻芸二线,赛14开关,赛14,赛14,711.0,赛14,
39,10kV臻芸二线,赛14线路保护,赛14重合闸软压板投入,赛14重合闸软压板投入,719.0,赛14重合闸软压板投入,
40,10kV帕克二线,赛16开关,赛16,赛16,736.0,赛16,
41,10kV帕克二线,赛16线路保护,赛16重合闸软压板投入,赛16重合闸软压板投入,744.0,赛16重合闸软压板投入,
42,10kV平洋二线,赛18开关,赛18,赛18,761.0,赛18,
43,10kV平洋二线,赛18线路保护,赛18重合闸软压板投入,赛18重合闸软压板投入,769.0,赛18重合闸软压板投入,
44,10kV中铁二线,赛22开关,赛22,赛22,786.0,赛22,
45,10kV中铁二线,赛22线路保护,赛22重合闸软压板投入,赛22重合闸软压板投入,794.0,赛22重合闸软压板投入,
46,10kV铁信二线,赛24开关,赛24,赛24,811.0,赛24,
47,10kV铁信二线,赛24线路保护,赛24重合闸软压板投入,赛24重合闸软压板投入,819.0,赛24重合闸软压板投入,
48,10kV信大二线,赛26开关,赛26,赛26,836.0,赛26,
49,10kV信大二线,赛26线路保护,赛26重合闸软压板投入,赛26重合闸软压板投入,844.0,赛26重合闸软压板投入,
50,10kV赛28备用线,赛28开关,赛28,赛28,861.0,赛28,
51,10kV赛28备用线,赛28线路保护,赛28重合闸软压板投入,赛28重合闸软压板投入,869.0,赛28重合闸软压板投入,
52,10kV电信二线,赛32开关,赛32,赛32,886.0,赛32,
53,10kV电信二线,赛32线路保护,赛32重合闸软压板投入,赛32重合闸软压板投入,894.0,赛32重合闸软压板投入,
54,10kV电信一线,赛34开关,赛34,赛34,911.0,赛34,
55,10kV电信一线,赛34线路保护,赛34重合闸软压板投入,赛34重合闸软压板投入,919.0,赛34重合闸软压板投入,
56,10kV富瑞二线,赛36开关,赛36,赛36,936.0,赛36,
57,10kV富瑞二线,赛36线路保护,赛36重合闸软压板投入,赛36重合闸软压板投入,944.0,赛36重合闸软压板投入,
58,10kV富瑞三线,赛38开关,赛38,赛38,961.0,赛38,
59,10kV富瑞三线,赛38线路保护,赛38重合闸软压板投入,赛38重合闸软压板投入,969.0,赛38重合闸软压板投入,
60,10kV赛10接地变,赛10开关,赛10,赛10,659.0,赛10,
61,10kV赛20接地变,赛20开关,赛20,赛20,986.0,赛20,
62,10kV2061电容器,2061开关,2061,2061,1013.0,2061,
63,10kV2062电容器,2062开关,2062,2062,1039.0,2062,
