主站点号,电压等级,间隔名称,设备名称,设备大类,量测类型,信息分类,越限高限值,主站端描述,厂站端描述
0,110kV,1号主变,1号主变110kV侧,变压器绕组,档位,越限,,1#主变分接头位置,1#主变分接头位置
1,110kV,1号主变,1号主变机构,辅助设备,,越限,,1#主变油温1,1#主变油温1
2,110kV,1号主变,1号主变机构,辅助设备,,越限,,1#主变油温2,1#主变油温2
3,110kV,1号主变,1号主变接地变,负荷,有功,越限,,1#接地变有功,1#接地变有功
4,110kV,1号主变,1号主变接地变,负荷,无功,越限,,1#接地变无功,1#接地变无功
5,110kV,1号主变,1号主变接地变,负荷,A相电流,越限,,1#接地变A相电流,1#接地变A相电流
6,110kV,1号主变,1号主变接地变,负荷,B相电流,越限,,1#接地变B相电流,1#接地变B相电流
7,110kV,1号主变,1号主变接地变,负荷,C相电流,越限,,1#接地变C相电流,1#接地变C相电流
8,110kV,1号主变,1号主变110kV侧,变压器绕组,有功,越限,,101开关有功,101开关有功
9,110kV,1号主变,1号主变110kV侧,变压器绕组,无功,越限,,101开关无功,101开关无功
10,110kV,1号主变,1号主变110kV侧,变压器绕组,A相电流,越限,,101开关A相电流,101开关A相电流
11,110kV,1号主变,1号主变110kV侧,变压器绕组,B相电流,越限,,101开关B相电流,101开关B相电流
12,110kV,1号主变,1号主变110kV侧,变压器绕组,C相电流,越限,,101开关C相电流,101开关C相电流
13,110kV,1号主变,1号主变110kV侧,变压器绕组,功率因数,越限,,101功率因数,101功率因数
14,10kV,1号主变,1号主变10kV侧,变压器绕组,有功,越限,,201有功,201有功
15,10kV,1号主变,1号主变10kV侧,变压器绕组,无功,越限,,201无功,201无功
16,10kV,1号主变,1号主变10kV侧,变压器绕组,A相电流,越限,,201A相电流,201A相电流
17,10kV,1号主变,1号主变10kV侧,变压器绕组,B相电流,越限,,201B相电流,201B相电流
18,10kV,1号主变,1号主变10kV侧,变压器绕组,C相电流,越限,,201C相电流,201C相电流
19,10kV,1号主变,1号主变10kV侧,变压器绕组,功率因数,越限,,201功率因数,201功率因数
20,110kV,2号主变,2号主变110kV侧,变压器绕组,档位,越限,,2#主变分接头位置,2#主变分接头位置
21,110kV,2号主变,2号主变机构,辅助设备,,越限,,2#主变油温1,2#主变油温1
22,110kV,2号主变,2号主变机构,辅助设备,,越限,,2#主变油温2,2#主变油温2
23,110kV,2号主变,2号主变接地变,负荷,有功,越限,,2#接地变有功,2#接地变有功
24,110kV,2号主变,2号主变接地变,负荷,无功,越限,,2#接地变无功,2#接地变无功
25,110kV,2号主变,2号主变接地变,负荷,A相电流,越限,,2#接地变A相电流,2#接地变A相电流
