主站点号,间隔名称,设备名称,主站端描述,对应遥信点名称,遥信的点号,厂站端描述,量测类型
0,公用间隔,集控权限,集控/站端 ,集控/站端,0.0,集控/站端 ,
1,1号主变公用,1-7中性点地刀,1-7,1-7,2.0,1-7,
2,1号主变,1号主变110kV侧,1#主变分接开关档位升/降,,,1#主变分接开关档位升/降,变压器升降档
3,1号主变,1号主变110kV侧,1#主变分接开关调档急停,,,1#主变分接开关调档急停,变压器急停
4,1号主变110kV侧,101-4刀闸,101-4,101-4,4.0,101-4,
5,1号主变110kV侧,101-07接地刀闸,101-07,101-07,5.0,101-07,
6,1号主变110kV侧,101-27接地刀闸,101-27,101-27,6.0,101-27,
7,1号主变110kV侧,101-47接地刀闸,101-47,101-47,7.0,101-47,
8,1号主变110kV侧,101开关,101,101,8.0,101,
9,1号主变110kV侧,101-2刀闸,101-2,101-2,9.0,101-2,
10,1号主变10kV侧,201开关,201,201,10.0,201,
11,2号主变公用,2-7中性点地刀,2-7,2-7,12.0,2-7,
12,2号主变,2号主变110kV侧,2#主变分接开关档位升/降,,,2#主变分接开关档位升/降,变压器升降档
13,2号主变,2号主变110kV侧,2#主变分接开关调档急停,,,2#主变分接开关调档急停,变压器急停
14,2号主变110kV侧,102-4刀闸,102-4,102-4,14.0,102-4,
15,2号主变110kV侧,102-07接地刀闸,102-07,102-07,15.0,102-07,
16,2号主变110kV侧,102-27接地刀闸,102-27,102-27,16.0,102-27,
17,2号主变110kV侧,102-47接地刀闸,102-47,102-47,17.0,102-47,
18,2号主变110kV侧,102开关,102,102,18.0,102,
19,2号主变110kV侧,102-2刀闸,102-2,102-2,19.0,102-2,
20,2号主变10kV侧,2021开关,2021,2021,20.0,2021,
21,2号主变10kV侧,2022开关,2022,2022,22.0,2022,
22,3号主变公用,3-7中性点地刀,3-7,3-7,25.0,3-7,
23,3号主变,3号主变110kV侧,3#主变分接开关档位升/降,,,3#主变分接开关档位升/降,变压器升降档
24,3号主变,3号主变110kV侧,3#主变分接开关调档急停,,,3#主变分接开关调档急停,变压器急停
25,3号主变110kV侧,103-4刀闸,103-4,103-4,27.0,103-4,
26,3号主变110kV侧,103-07接地刀闸,103-07,103-07,28.0,103-07,
27,3号主变110kV侧,103-27接地刀闸,103-27,103-27,29.0,103-27,
28,3号主变110kV侧,103-47接地刀闸,103-47,103-47,30.0,103-47,
29,3号主变110kV侧,103开关,103,103,31.0,103,
30,3号主变110kV侧,103-2刀闸,103-2,103-2,32.0,103-2,
31,3号主变10kV侧,203开关,203,203,33.0,203,
32,110kV111备用线,111开关,111,111,35.0,111,
33,110kV111备用线,111-2刀闸,111-2,111-2,36.0,111-2,
34,110kV111备用线,111-4刀闸,111-4,111-4,37.0,111-4,
35,110kV111备用线,111-17接地刀闸,111-17,111-17,38.0,111-17,
36,110kV111备用线,111-27接地刀闸,111-27,111-27,39.0,111-27,
37,110kV111备用线,111-47接地刀闸,111-47,111-47,40.0,111-47,
38,110kV111备用线,111线路保护,111线路测保CSC163A停用重合闸软压板投入,111线路测保CSC163A停用重合闸软压板投入,1008.0,111线路测保CSC163A停用重合闸软压板投入,
39,110kV111备用线,111线路保护,111线路测保UDL-531停用重合闸软压板投入,111线路测保UDL-531停用重合闸软压板投入,1044.0,111线路测保UDL-531停用重合闸软压板投入,
40,110kV112备用线,112开关,112,112,41.0,112,
41,110kV112备用线,112-2刀闸,112-2,112-2,42.0,112-2,
42,110kV112备用线,112-4刀闸,112-4,112-4,43.0,112-4,
43,110kV112备用线,112-17接地刀闸,112-17,112-17,44.0,112-17,
44,110kV112备用线,112-27接地刀闸,112-27,112-27,45.0,112-27,
45,110kV112备用线,112-47接地刀闸,112-47,112-47,46.0,112-47,
46,110kV113备用线,113开关,113,113,47.0,113,
47,110kV113备用线,113-2刀闸,113-2,113-2,48.0,113-2,
48,110kV113备用线,113-4刀闸,113-4,113-4,49.0,113-4,
49,110kV113备用线,113-17接地刀闸,113-17,113-17,50.0,113-17,
50,110kV113备用线,113-27接地刀闸,113-27,113-27,51.0,113-27,
51,110kV113备用线,113-47接地刀闸,113-47,113-47,52.0,113-47,
52,110kV113备用线,113线路保护,113线路测保CSC163A停用重合闸软压板投入,113线路测保CSC163A停用重合闸软压板投入,1165.0,113线路测保CSC163A停用重合闸软压板投入,
53,110kV113备用线,113线路保护,113线路测保UDL-531停用重合闸软压板投入,113线路测保UDL-531停用重合闸软压板投入,1201.0,113线路测保UDL-531停用重合闸软压板投入,
54,110kV114备用线,114开关,114,114,53.0,114,
55,110kV114备用线,114-2刀闸,114-2,114-2,54.0,114-2,
56,110kV114备用线,114-4刀闸,114-4,114-4,55.0,114-4,
57,110kV114备用线,114-17接地刀闸,114-17,114-17,56.0,114-17,
58,110kV114备用线,114-27接地刀闸,114-27,114-27,57.0,114-27,
59,110kV114备用线,114-47接地刀闸,114-47,114-47,58.0,114-47,
60,110kV115备用线,115开关,115,115,59.0,115,
61,110kV115备用线,115-2刀闸,115-2,115-2,60.0,115-2,
62,110kV115备用线,115-4刀闸,115-4,115-4,61.0,115-4,
63,110kV115备用线,115-17接地刀闸,115-17,115-17,62.0,115-17,
64,110kV115备用线,115-27接地刀闸,115-27,115-27,63.0,115-27,
65,110kV115备用线,115-47接地刀闸,115-47,115-47,64.0,115-47,
66,110kV115备用线,115线路保护,115线路测保CSC163A停用重合闸软压板投入,115线路测保CSC163A停用重合闸软压板投入,1323.0,115线路测保CSC163A停用重合闸软压板投入,
67,110kV115备用线,115线路保护,115线路测保UDL-531停用重合闸软压板投入,115线路测保UDL-531停用重合闸软压板投入,1359.0,115线路测保UDL-531停用重合闸软压板投入,
68,110kV116备用线,116开关,116,116,65.0,116,
69,110kV116备用线,116-2刀闸,116-2,116-2,66.0,116-2,
70,110kV116备用线,116-4刀闸,116-4,116-4,67.0,116-4,
71,110kV116备用线,116-17接地刀闸,116-17,116-17,68.0,116-17,
72,110kV116备用线,116-27接地刀闸,116-27,116-27,69.0,116-27,
73,110kV116备用线,116-47接地刀闸,116-47,116-47,70.0,116-47,
74,110kV116备用线,116线路保护,116线路测保停用重合闸软压板投入,116线路测保PRS-713A停用重合闸软压板投入,1435.0,116线路测保停用重合闸软压板投入,
75,110kV41母线,4-91刀闸,4-91,4-91,71.0,4-91,
76,110kV41母线,41-7接地刀闸,41-7,41-7,72.0,41-7,
77,110kV41母线,4-917接地刀闸,-917,-917,73.0,-917,
78,110kV42母线,4-92刀闸,4-92,4-92,74.0,4-92,
79,110kV42母线,42-7接地刀闸,42-7,42-7,75.0,42-7,
80,110kV42母线,4-927接地刀闸,-927,-927,76.0,-927,
81,110kV43母线,4-93刀闸,4-93,4-93,77.0,4-93,
82,110kV43母线,43-7接地刀闸,43-7,43-7,78.0,43-7,
83,110kV43母线,4-937接地刀闸,-937,-937,79.0,-937,
84,10kV海11备用线,海11开关,海11,海11,80.0,海11,
85,10kV海11备用线,海11线路保护,海11线路测保停用重合闸软压板投入,海11线路测保ESP-3124A停用重合闸软压板投入,1616.0,海11线路测保停用重合闸软压板投入,
86,10kV海12备用线,海12开关,海12,海12,83.0,海12,
87,10kV海12备用线,海12线路保护,海12线路测保停用重合闸软压板投入,海12线路测保ESP-3124A停用重合闸软压板投入,1641.0,海12线路测保停用重合闸软压板投入,
88,10kV海13备用线,海13开关,海13,海13,86.0,海13,
